LineString,Time
"LINESTRING(-0.056103 51.519795, -0.056206 51.519792)",
"LINESTRING(-0.056206 51.519792, -0.056307 51.519806)",
"LINESTRING(-0.056307 51.519806, -0.056394 51.519785)",
"LINESTRING(-0.056394 51.519785, -0.056484 51.519762)",
"LINESTRING(-0.056484 51.519762, -0.056553 51.519716)",
"LINESTRING(-0.056553 51.519716, -0.056603 51.519707)",
"LINESTRING(-0.056603 51.519707, -0.056666 51.519697)",
"LINESTRING(-0.056666 51.519697, -0.05755 51.519519)",
"LINESTRING(-0.05755 51.519519, -0.057882 51.519452)",
"LINESTRING(-0.057882 51.519452, -0.059166 51.51919)",
"LINESTRING(-0.059166 51.51919, -0.059369 51.519147)",
"LINESTRING(-0.059369 51.519147, -0.059472 51.519121)",
"LINESTRING(-0.059472 51.519121, -0.059895 51.519027)",07:00
"LINESTRING(-0.059895 51.519027, -0.059978 51.519008)",
"LINESTRING(-0.059978 51.519008, -0.06005 51.518973)",
"LINESTRING(-0.06005 51.518973, -0.060239 51.518931)",
"LINESTRING(-0.060239 51.518931, -0.060375 51.518898)",
"LINESTRING(-0.060375 51.518898, -0.060653 51.518837)",
"LINESTRING(-0.060653 51.518837, -0.060907 51.518779)",
"LINESTRING(-0.060907 51.518779, -0.060965 51.51879)",
"LINESTRING(-0.060965 51.51879, -0.060984 51.518787)",
"LINESTRING(-0.060984 51.518787, -0.061074 51.51877)",
"LINESTRING(-0.061074 51.51877, -0.061148 51.518756)",
"LINESTRING(-0.061148 51.518756, -0.061165 51.518753)",
"LINESTRING(-0.061165 51.518753, -0.06121 51.518714)",
"LINESTRING(-0.06121 51.518714, -0.0615 51.518657)",
"LINESTRING(-0.0615 51.518657, -0.062478 51.518424)",
"LINESTRING(-0.062478 51.518424, -0.06257 51.518419)",
"LINESTRING(-0.06257 51.518419, -0.062632 51.518405)",
"LINESTRING(-0.062632 51.518405, -0.062745 51.518395)",
"LINESTRING(-0.062745 51.518395, -0.062825 51.518396)",
"LINESTRING(-0.062825 51.518396, -0.063006 51.518353)",
"LINESTRING(-0.063006 51.518353, -0.063064 51.51834)",
"LINESTRING(-0.063064 51.51834, -0.063136 51.518332)",
"LINESTRING(-0.063136 51.518332, -0.063272 51.518341)",
