geometry
POINT(-0.065662 51.517684)
POINT(-0.065764 51.517654)
POINT(-0.06581 51.51764)
POINT(-0.065913 51.517614)
POINT(-0.066073 51.517564)
POINT(-0.066173 51.517529)
POINT(-0.066701 51.51736)
POINT(-0.066878 51.517294)
POINT(-0.066964 51.517261)
POINT(-0.067113 51.517212)
POINT(-0.067217 51.517173)
POINT(-0.067272 51.517149)
POINT(-0.067348 51.51712)
POINT(-0.06739 51.517103)
POINT(-0.067557 51.517037)
POINT(-0.067737 51.516961)
POINT(-0.067874 51.516902)
POINT(-0.068104 51.516797)
POINT(-0.068149 51.516776)
POINT(-0.068322 51.516697)
POINT(-0.068418 51.516653)
POINT(-0.068485 51.516622)
POINT(-0.068798 51.516478)
POINT(-0.069009 51.51638)
POINT(-0.069213 51.516285)
POINT(-0.069295 51.51625)
POINT(-0.069359 51.516223)
POINT(-0.069396 51.516206)
POINT(-0.069488 51.516163)
POINT(-0.06958 51.516123)
POINT(-0.06964 51.516096)
POINT(-0.069668 51.516038)
POINT(-0.069731 51.516009)
POINT(-0.069777 51.515984)
POINT(-0.069916 51.515919)
POINT(-0.070038 51.5159)
POINT(-0.0701 51.515874)
POINT(-0.070255 51.515809)
POINT(-0.070262 51.515741)
POINT(-0.070307 51.515722)
POINT(-0.0704 51.515682)
POINT(-0.070409 51.515678)
POINT(-0.070409 51.515678)
POINT(-0.070458 51.515659)
POINT(-0.070482 51.51565)
POINT(-0.070636 51.515597)
POINT(-0.07092 51.515495)
POINT(-0.07101 51.515468)
POINT(-0.071509 51.515282)
POINT(-0.071575 51.515258)
POINT(-0.071737 51.515204)
POINT(-0.071817 51.515175)
POINT(-0.071966 51.515116)
POINT(-0.072028 51.515098)
POINT(-0.072048 51.515092)
POINT(-0.072118 51.515071)
POINT(-0.072144 51.515039)
POINT(-0.072574 51.514895)
POINT(-0.072848 51.514797)
POINT(-0.073166 51.514653)
POINT(-0.073227 51.514634)
POINT(-0.073371 51.514676)
POINT(-0.073464 51.514636)
POINT(-0.073596 51.514584)
POINT(-0.073595 51.514578)
POINT(-0.073595 51.514572)
POINT(-0.073596 51.514565)
POINT(-0.073597 51.514558)
POINT(-0.073602 51.514546)
POINT(-0.073605 51.51454)
POINT(-0.073611 51.514535)
POINT(-0.073649 51.514516)
POINT(-0.07367 51.514509)
POINT(-0.073702 51.514498)
POINT(-0.07383 51.514459)
POINT(-0.073838 51.514458)
